type	premise_1	premise_2	conclusion	conclusion_2
AI1	Some queensland nuts are wingspans.	All wingspans are microcytes.	NVC	
AA1	All undergraduates are exchange traded funds.	All chordate genuses are undergraduates.	All chordate genuses are exchange traded funds.	Some chordate genuses are exchange traded funds.
EE4	No heavys are socages.	No socages are metalwares.	NVC	
II2	Some lepiota naucinas are ready-to-wears.	Some pleurobrachias are ready-to-wears.	NVC	
OO1	Some delusions are not tailstocks.	Some clicks are not delusions.	NVC	
AE1	All cowboys are switchers.	No hearts are cowboys.	NVC	
IO4	Some baths are not dibbles.	Some irrational motives are baths.	NVC	
EI4	Some umbrella trees are dissimilaritys.	No decks are umbrella trees.	Some dissimilaritys are not decks.	
AO3	Some tequilas are not waldorf salads.	All tequilas are migrations.	NVC	
AA4	All runways are arrobas.	All turret clocks are runways.	Some arrobas are turret clocks.	
